Timestep,poi_abc_1,poi_abc_11,poi_abc_12,poi_abc_13,poi_abc_14,poi_abc_15,poi_abc_16,poi_abc_17,poi_abc_3,poi_abc_4,poi_abc_5,poi_abc_6,poi_abc_7,poi_abc_8,poi_abc_9
61198,22,46,136,0,92,6,0,140,4,0,12,24,0,4,70
61199,22,48,134,0,92,4,0,142,4,0,12,22,0,6,72
61200,22,48,132,0,92,4,0,142,4,0,12,24,0,6,74
61201,22,48,132,0,86,4,0,144,4,0,12,24,0,6,76
61202,22,48,132,0,90,2,0,142,4,0,12,22,0,6,76
61203,22,48,128,0,90,2,0,144,6,0,14,22,0,6,76
61204,22,48,128,0,90,2,0,144,6,0,12,26,0,8,76
61205,26,48,124,0,92,2,0,144,4,0,12,28,0,8,76
61206,26,48,128,0,92,0,0,146,4,0,10,28,0,10,76
61207,26,50,126,0,90,2,0,148,4,0,10,28,0,10,76
61208,26,50,126,0,90,2,0,150,6,0,10,30,0,10,76
61209,26,52,122,0,88,2,0,152,6,0,10,30,0,10,78
61210,26,52,120,0,86,2,0,154,6,0,10,28,0,10,78
61211,26,52,114,0,90,2,0,156,8,0,10,26,0,10,76
61212,26,52,110,0,88,4,0,156,8,0,10,26,0,10,76
61213,30,48,110,0,88,4,0,158,6,0,8,22,0,10,76
61214,32,46,110,0,84,4,0,162,6,0,8,22,0,10,74
61215,38,46,112,0,84,4,0,164,4,0,8,20,0,10,70
61216,38,46,114,0,88,4,0,162,4,0,8,20,0,10,66
61217,42,44,112,0,90,8,0,164,4,0,8,24,0,10,60
61218,40,44,110,0,94,12,0,164,4,0,8,22,0,10,58
61219,42,42,108,0,94,12,0,168,2,0,6,22,0,10,54
61220,42,44,104,0,94,14,0,170,2,0,6,26,0,10,50
61221,42,42,102,0,96,14,0,172,0,0,6,26,0,6,50
61222,38,42,98,0,96,14,0,176,0,0,6,30,0,4,50
61223,38,42,98,0,98,16,0,176,0,0,6,36,0,6,46
61224,42,40,98,0,98,18,0,174,0,0,6,36,0,6,40
61225,40,38,98,0,102,20,0,176,0,0,6,36,0,6,40
61226,40,38,100,0,100,20,0,178,2,0,6,36,0,6,40
61227,38,38,98,0,104,22,0,176,2,0,6,36,0,6,40
61228,34,42,100,0,102,18,0,174,2,0,6,36,0,6,44
61229,32,42,94,0,104,22,0,172,6,0,6,34,0,6,44
61230,32,42,94,0,104,20,0,168,6,0,6,32,0,6,46
61231,32,42,90,0,104,22,0,164,8,0,8,30,0,8,48
61232,32,42,92,0,106,22,0,160,8,0,8,24,0,8,48
61233,28,40,92,0,106,24,0,158,8,0,8,24,0,8,52
61234,26,36,94,0,106,22,0,154,8,0,8,22,0,10,58
61235,26,34,94,0,108,24,0,154,8,0,8,16,0,12,58
61236,28,30,94,0,106,22,0,152,10,0,10,16,0,10,58
61237,28,32,90,0,106,24,0,150,12,0,10,12,0,10,58
61238,28,32,92,0,104,24,0,146,14,0,10,12,0,8,56
61239,28,38,92,0,102,20,0,144,16,0,10,14,0,8,56
61240,28,38,90,0,102,22,0,146,14,0,10,14,0,8,58
61241,30,40,90,0,100,20,0,144,14,0,12,14,0,8,56
61242,26,44,90,0,102,18,0,144,16,0,14,16,0,8,56
61243,26,46,90,0,102,18,0,144,16,0,14,14,0,8,52
61244,22,50,88,0,102,16,0,144,16,0,16,16,0,8,54
61245,20,52,86,0,102,14,0,144,20,0,16,18,0,8,54
61246,20,54,86,0,102,14,0,144,18,0,16,18,0,8,54
61247,22,56,84,0,102,12,0,144,16,0,16,18,0,8,56
61248,22,60,84,0,102,12,0,144,10,0,16,16,0,8,56
61249,26,62,82,0,102,10,0,144,8,0,16,16,0,8,54
61250,26,62,80,0,100,12,0,146,6,0,16,16,0,8,56
61251,28,60,80,0,100,12,0,150,6,0,16,16,0,8,56
61252,30,62,80,0,100,10,0,150,6,0,18,16,0,8,56
61253,28,62,80,0,98,10,0,150,2,0,16,16,0,10,60
61254,28,66,80,0,98,6,0,158,0,0,16,16,0,8,58
61255,28,66,80,0,96,6,0,160,0,0,16,16,0,6,62
61256,28,70,82,0,94,4,0,160,0,0,16,16,0,6,62
61257,26,70,82,0,94,4,0,164,0,0,16,16,0,6,64
61258,26,68,80,0,98,6,0,160,0,0,16,14,0,4,66
61259,24,66,80,0,100,8,0,160,0,0,16,14,0,4,68
61260,24,66,82,0,100,6,0,160,0,0,16,14,0,4,70
61261,24,66,82,0,98,4,0,160,0,0,18,12,0,4,72
61262,22,68,82,0,98,4,0,160,0,0,20,12,0,2,74
61263,22,70,82,0,102,4,0,160,2,0,20,14,0,2,72
61264,22,70,84,0,104,4,0,156,2,0,20,14,0,2,72
61265,22,70,86,0,108,4,0,152,2,0,22,16,0,2,72
61266,22,70,88,0,108,6,0,148,2,0,22,14,0,2,72
61267,22,68,88,0,108,8,0,144,2,0,20,14,0,2,72
61268,22,66,92,0,108,10,0,142,2,0,20,14,0,2,72
61269,22,66,94,0,110,10,0,138,2,0,18,12,0,2,72
61270,22,66,94,0,110,10,0,136,2,0,18,12,0,2,72
61271,20,68,96,0,110,10,0,132,2,0,18,10,0,0,74
61272,20,68,96,0,108,8,0,130,2,0,18,12,0,0,74
61273,20,68,94,0,108,8,0,130,2,0,18,14,0,0,74
61274,22,68,90,0,102,6,0,132,0,0,18,18,0,0,76
61275,22,68,88,0,100,6,0,130,0,0,18,20,0,0,76
61276,22,68,86,0,98,8,0,130,0,0,20,22,0,0,76
61277,22,68,86,0,96,8,0,130,0,0,20,26,0,0,74
61278,22,68,84,0,92,10,0,128,0,0,22,26,0,0,74
61279,24,68,82,0,90,10,0,128,0,0,22,26,0,0,72
61280,24,68,82,0,90,12,0,126,0,0,24,26,0,0,70
61281,24,68,84,0,86,10,0,130,0,0,24,26,0,0,70
61282,24,68,84,0,84,10,0,130,0,0,24,30,0,0,70
61283,24,68,84,0,82,10,0,132,0,0,24,30,0,0,70
61284,24,68,84,0,80,8,0,132,0,0,24,32,0,0,70
61285,24,68,84,0,80,8,0,134,0,0,26,32,0,0,70
61286,24,68,84,0,80,8,0,134,2,0,26,34,0,0,70
61287,22,68,84,0,80,10,0,134,4,0,26,36,0,0,72
61288,22,68,82,0,78,10,0,136,4,0,30,38,0,0,68
61289,22,66,82,0,78,12,0,134,4,0,30,38,0,0,68
61290,22,66,84,0,84,10,0,132,4,0,30,38,0,0,66
61291,22,66,82,0,82,10,0,136,4,0,28,36,0,0,66
61292,22,66,84,0,82,8,0,136,4,0,28,36,0,0,66
61293,22,66,80,0,82,8,0,142,4,0,28,32,0,0,66
61294,22,66,80,0,82,6,0,142,4,0,26,34,0,0,68
61295,24,66,80,0,76,6,0,146,2,0,28,36,0,0,68
61296,20,66,82,0,76,4,0,148,6,0,26,36,0,0,70
61297,22,66,80,0,74,4,0,152,4,0,26,36,0,0,68
61298,18,66,78,0,74,6,0,154,8,0,24,36,0,0,70
61299,18,66,76,0,74,6,0,158,8,0,20,36,0,2,70
61300,18,66,76,0,72,6,0,160,8,0,20,34,0,2,70
61301,18,66,74,0,72,6,0,162,8,0,22,36,0,2,68
61302,18,66,74,0,74,4,0,164,8,0,22,32,0,2,68
61303,18,62,74,0,72,4,0,166,8,0,20,34,0,2,72
61304,20,58,74,0,74,2,0,168,8,0,20,34,0,2,66
61305,20,56,74,0,74,4,0,172,8,0,20,36,0,2,66
61306,20,52,72,0,76,6,0,176,8,0,18,36,0,4,62
61307,22,52,72,0,72,8,0,176,8,0,18,40,0,4,58
61308,24,50,70,0,74,10,0,176,6,0,18,40,0,4,54
61309,24,50,70,0,80,12,0,178,4,0,18,36,0,6,50
61310,28,50,70,0,76,14,0,180,2,0,18,36,0,6,46
61311,28,52,66,0,84,18,0,180,2,0,18,30,0,8,42
61312,28,52,66,0,84,20,0,180,2,0,16,28,0,8,44
61313,32,52,66,0,90,22,0,182,2,0,16,24,0,10,38
61314,34,52,66,0,90,22,0,184,2,0,14,26,0,10,36
61315,36,52,66,0,94,26,0,184,2,0,16,26,0,10,32
61316,32,54,68,0,96,24,0,182,2,0,16,28,0,10,32
61317,28,54,74,0,102,26,0,176,4,0,16,28,0,12,36
61318,28,58,74,0,104,22,0,178,2,0,16,26,0,14,34
61319,22,56,78,0,106,24,0,174,2,0,16,24,0,14,40
61320,22,56,82,0,108,20,0,176,4,0,16,28,0,16,38
61321,20,56,86,0,108,20,0,176,6,0,16,28,0,16,40
61322,20,54,88,0,110,16,0,176,8,0,16,24,0,14,38
61323,22,52,88,0,110,16,0,176,10,0,16,28,0,12,38
61324,22,54,90,0,112,16,0,176,12,0,18,24,0,12,38
61325,22,48,88,0,114,22,0,176,14,0,18,24,0,12,38
61326,26,48,90,0,112,20,0,176,14,0,18,24,0,12,40
61327,26,46,92,0,110,22,0,174,16,0,18,26,0,12,40
61328,26,44,90,0,108,22,0,172,18,0,14,28,0,14,46
61329,24,44,96,0,106,20,0,170,20,0,12,26,0,14,48
61330,26,38,94,0,104,26,0,170,20,0,14,26,0,12,50
61331,24,38,94,0,100,26,0,174,22,0,12,30,0,12,56
61332,26,36,94,0,104,26,0,172,22,0,12,28,0,12,56
61333,26,34,92,0,100,26,0,174,20,0,12,28,0,12,60
61334,28,34,96,0,100,26,0,170,20,0,12,26,0,12,62
61335,26,36,96,0,104,24,0,170,20,0,12,22,0,12,64
61336,28,36,98,0,104,24,0,170,18,0,12,20,0,12,66
61337,26,38,98,0,108,22,0,170,18,0,10,18,0,14,68
61338,30,40,100,0,102,20,0,170,14,0,10,18,0,14,70
61339,30,38,102,0,102,20,0,168,14,0,12,18,0,12,72
61340,30,40,102,0,104,18,0,168,10,0,12,16,0,12,72
61341,30,42,102,0,108,16,0,166,10,0,14,14,0,10,70
61342,30,42,102,0,108,14,0,168,4,0,14,14,0,10,72
61343,32,46,102,0,106,10,0,170,2,0,14,14,0,8,72
61344,32,46,102,0,104,10,0,174,2,0,12,14,0,8,72
61345,30,48,102,0,106,8,0,176,2,0,12,14,0,8,72
61346,28,48,102,0,104,8,0,184,0,0,12,14,0,6,74
61347,28,52,102,0,104,6,0,188,0,0,12,14,0,6,72
61348,28,54,106,0,106,4,0,192,0,0,12,14,0,6,70
61349,28,56,108,0,106,2,0,192,0,0,12,14,0,6,70
61350,28,56,108,0,108,2,0,192,2,0,12,14,0,6,68
61351,30,54,108,0,106,2,0,194,2,0,12,12,0,6,68
61352,32,52,108,0,108,2,0,196,2,0,12,6,0,6,66
61353,32,52,110,0,108,2,0,194,2,0,12,8,0,4,64
61354,32,50,110,0,110,4,0,194,2,0,12,8,0,4,64
61355,34,48,110,0,110,4,0,196,4,0,12,10,0,4,62
61356,32,48,110,0,112,6,0,196,6,0,12,12,0,2,62
61357,32,46,110,0,112,8,0,196,6,0,12,12,0,2,60
61358,30,44,110,0,110,10,0,196,6,0,12,14,0,2,62
61359,32,44,112,0,108,10,0,190,6,0,12,20,0,2,62
61360,32,42,112,0,106,10,0,194,6,0,10,20,0,2,66
61361,30,40,108,0,106,12,0,192,6,0,10,22,0,2,68
61362,32,40,110,0,106,12,0,190,4,0,12,24,0,0,68
61363,32,42,110,0,106,12,0,188,4,0,12,24,0,0,68
61364,30,42,108,0,108,12,0,188,4,0,14,22,0,0,70
61365,30,42,110,0,102,10,0,190,4,0,14,26,0,0,70
61366,30,42,112,0,102,10,0,184,4,0,16,26,0,0,70
61367,30,42,114,0,104,8,0,180,4,0,16,28,0,2,68
61368,30,42,110,0,104,10,0,176,4,0,18,30,0,2,68
61369,30,44,110,0,104,8,0,176,4,0,20,30,0,4,68
61370,30,44,112,0,106,8,0,174,4,0,20,30,0,4,68
61371,30,44,110,0,104,8,0,170,4,0,22,30,0,4,66
61372,30,44,112,0,104,6,0,170,4,0,24,32,0,4,64
61373,30,44,112,0,102,6,0,170,4,0,24,32,0,4,64
61374,30,44,114,0,98,4,0,172,4,0,24,36,0,4,62
61375,30,44,114,0,94,6,0,176,4,0,22,34,0,4,62
61376,30,46,112,0,94,6,0,178,4,0,20,38,0,4,60
61377,30,46,112,0,94,4,0,180,4,0,20,36,0,4,58
61378,30,46,110,0,96,2,0,182,4,0,18,38,0,4,58
61379,30,46,108,0,96,2,0,186,4,0,18,36,0,4,56
61380,30,46,108,0,94,2,0,184,4,0,16,40,0,4,58
61381,30,48,108,0,94,2,0,182,4,0,14,42,0,4,58
61382,30,48,108,0,96,2,0,178,4,0,14,42,0,4,58
61383,30,48,108,0,94,2,0,182,4,0,14,42,0,4,56
